disease,home_remedy_1,home_remedy_2,home_remedy_3,home_remedy_4,home_remedy_5,effectiveness_rating,preparation_time_minutes,cost_level,safety_level
Asthma,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",6.8,31,Very Low,Caution Required
Hypertension,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",,,5.5,60,Moderate,Safe
Sinusitis,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,3.8,56,Moderate,Safe
GERD,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",4.5,50,Low,Caution Required
Tuberculosis,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,7.3,12,Moderate,Caution Required
Panic Disorder,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",,7.6,31,Moderate,Safe
Constipation,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,8.8,29,High,Caution Required
Back Pain,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),9.4,26,Moderate,Safe
Alzheimers Disease,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",8.5,17,Moderate,Consult Doctor
Colon Cancer,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",,,8.2,31,High,Caution Required
Appendicitis,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,6.0,45,Moderate,Safe
Psoriasis,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,,,5.9,22,Moderate,Caution Required
Osteoporosis,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,8.0,47,High,Safe
Sinusitis,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,9.4,7,High,Safe
Sleep Apnea,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,,7.6,14,Very Low,Consult Doctor
Asthma,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,,6.5,41,Moderate,Consult Doctor
Crohns Disease,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,,,3.2,30,Moderate,Safe
Ulcerative Colitis,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,8.0,19,Moderate,Very Safe
Dengue Fever,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,4.8,49,Very Low,Caution Required
Leukemia,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,,7.8,25,Very Low,Consult Doctor
Sinusitis,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,,6.3,15,Low,Safe
Coronary Artery Disease,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,3.8,24,Moderate,Caution Required
Insomnia,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,,3.6,38,Very Low,Consult Doctor
Anemia,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",,,5.1,46,High,Safe
Appendicitis,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",3.8,54,Low,Consult Doctor
Asthma,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",,,4.6,35,High,Safe
Celiac Disease,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,,,4.5,46,Moderate,Consult Doctor
Lactose Intolerance,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),7.4,59,Very Low,Very Safe
Hearing Loss,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,,7.0,34,High,Caution Required
ADHD,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",8.6,14,Very Low,Caution Required
PCOS,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,,8.0,28,Very Low,Safe
Prostate Cancer,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,3.4,48,Low,Caution Required
Bronchitis,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),,9.0,36,Low,Caution Required
Asthma,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,7.5,11,Low,Caution Required
Breast Cancer,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",,,5.6,44,Very Low,Consult Doctor
Tuberculosis,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,,6.2,26,Very Low,Consult Doctor
Hypothyroidism,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),4.5,23,High,Caution Required
Tuberculosis,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,,4.6,34,Moderate,Very Safe
Measles,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",5.4,17,High,Safe
Arthritis,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),,6.2,43,Low,Consult Doctor
Skin Allergies,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,,6.0,17,Very Low,Caution Required
Ear Infection,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,5.5,48,Very Low,Caution Required
Hypertension,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,4.8,37,Very Low,Caution Required
Tuberculosis,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",,8.2,50,High,Very Safe
Hepatitis B,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,,,7.0,24,Very Low,Consult Doctor
Eczema,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",,4.3,16,Low,Very Safe
Heart Disease,Consume 2-3 cloves fresh garlic daily (allicin for heart health),"Include omega-3 rich foods: salmon, walnuts, flaxseeds daily",Take 200mg CoQ10 supplement with meals,Consume 1-2 tbsp olive oil daily (monounsaturated fats),Include hawthorn berry tea (1 cup twice daily),7.2,46,High,Consult Doctor
Bronchitis,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),4.2,48,Moderate,Caution Required
Panic Disorder,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,7.0,29,Moderate,Safe
Sinusitis,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,,9.2,58,Low,Caution Required
Mumps,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),,,3.0,32,Very Low,Consult Doctor
Deep Vein Thrombosis,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",6.7,50,Very Low,Safe
