disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
IBS,6.78,High,"Cholesterol Level, Alcohol Consumption, Sleep Quality","Stress, Diet",Unknown,High,9.91,7.09,Moderate,8.68,8.96,8.73,6.57,8.19,3.94,5.52,8.18,2.57,9.33,8.51,6.29,7.63,1.88
Appendicitis,5.95,Moderate,"Alcohol Consumption, Age, Sleep Quality","Exercise, Stress",Unknown,Low,7.14,7.31,Moderate,8.85,2.38,5.13,4.77,5.71,9.12,6.15,9.64,7.25,4.12,7.08,5.84,2.94,4.27
UTI,5.72,Moderate,"Environmental Factors, Physical Activity, Blood Pressure","Sleep, Diet",Unknown,High,5.22,5.68,High,2.37,6.98,6.99,3.93,4.21,9.36,9.41,8.06,4.04,3.16,7.37,4.27,2.95,6.94
Meniere Disease,5.0,Moderate,"Diet Quality, Environmental Factors, Gender","Exercise, Sleep",Low,High,6.87,6.18,Moderate,3.73,4.58,6.25,1.63,3.11,9.54,5.26,4.31,8.42,5.16,3.04,5.62,3.48,5.89
Lung Cancer,5.18,Moderate,"Blood Sugar Level, Blood Pressure, Physical Activity","Smoking, Exercise",Unknown,Low,6.28,5.44,Moderate,9.0,6.39,1.08,8.08,2.37,4.9,6.81,2.36,3.81,7.9,4.38,3.97,6.59,4.88
Hepatitis A,6.36,Moderate,"Family History, Age, Blood Sugar Level","Smoking, Exercise",Low,High,9.01,5.78,Low,9.15,6.53,8.2,7.52,5.03,9.31,5.78,9.62,5.14,8.16,4.91,1.8,6.43,1.45
Migraine,5.69,Moderate,"Family History, Sleep Quality, Diet Quality","Diet, Exercise",High,Moderate,5.33,6.18,Moderate,9.52,8.55,4.29,4.87,4.65,3.32,5.54,9.87,2.67,6.86,6.16,7.73,1.0,4.6
Stroke,6.04,Moderate,"Alcohol Consumption, Sleep Quality, Gender","Exercise, Smoking",High,Low,9.05,7.39,Low,1.0,9.06,9.01,7.18,5.08,5.64,3.69,6.72,8.86,3.69,6.21,9.42,1.98,7.04
Parkinsons Disease,5.28,Moderate,"Cholesterol Level, Physical Activity, Smoking Status","Diet, Sleep",Unknown,Moderate,6.49,6.08,High,7.86,2.96,4.95,8.12,5.96,8.17,6.19,1.17,2.2,2.96,4.02,8.82,8.6,1.96
Gastritis,6.06,Moderate,"Stress Level, Family History, Sleep Quality","Stress, Diet",Moderate,Moderate,4.88,6.74,High,9.7,8.09,9.79,2.44,3.73,1.43,9.23,4.87,7.59,7.32,5.72,7.76,5.43,1.74
Heart Disease,6.76,High,"Diet Quality, Blood Pressure, Smoking Status","Diet, Stress",Unknown,High,7.42,8.06,High,9.03,7.16,4.76,7.32,2.4,8.55,4.33,1.26,5.06,7.36,8.58,9.39,9.81,9.63
Alzheimers Disease,6.02,Moderate,"Smoking Status, Alcohol Consumption, Gender","Diet, Exercise",High,High,5.62,5.54,Moderate,9.12,1.98,3.05,8.15,5.63,6.77,9.14,8.22,2.31,5.25,8.59,1.53,5.28,9.29
Chronic Fatigue,5.06,Moderate,"Environmental Factors, Diet Quality, Smoking Status","Smoking, Diet",Moderate,Low,4.83,5.14,High,2.36,5.27,3.71,8.64,1.99,6.1,3.97,3.99,4.79,3.29,4.09,4.53,8.15,9.97
Meniere Disease,5.47,Moderate,"Smoking Status, Stress Level, Blood Pressure","Exercise, Smoking",Moderate,Low,5.95,6.69,Moderate,5.83,2.4,6.61,1.65,4.19,6.43,9.68,4.18,5.76,5.63,5.25,9.99,2.9,6.04
Hearing Loss,5.85,Moderate,"Physical Activity, Gender, BMI","Exercise, Smoking",High,High,6.55,5.86,High,7.5,9.33,1.37,7.7,3.99,9.29,2.44,6.27,1.39,6.54,6.88,7.13,9.1,2.93
Stroke,7.11,High,"Blood Pressure, Blood Sugar Level, Stress Level","Stress, Exercise",Moderate,Moderate,10.61,7.83,Low,6.26,8.94,6.09,7.77,3.93,8.63,8.97,7.93,7.62,3.82,7.27,7.85,8.23,6.29
Malaria,5.66,Moderate,"Age, Sleep Quality, Smoking Status","Sleep, Stress",Moderate,Low,6.45,5.15,Low,8.33,6.83,6.79,6.83,3.99,3.59,4.86,5.89,5.03,9.7,7.93,2.33,6.14,1.02
Eczema,4.28,Moderate,"BMI, Stress Level, Smoking Status","Smoking, Stress",Unknown,High,4.8,4.54,Moderate,1.71,1.15,6.71,3.56,4.82,2.71,4.78,2.22,2.08,1.14,3.48,8.63,9.71,7.15
Chickenpox,6.14,Moderate,"BMI, Family History, Alcohol Consumption","Stress, Sleep",Unknown,Low,8.24,6.34,Moderate,4.44,4.66,7.54,1.51,4.14,9.34,6.32,7.94,1.93,8.76,7.38,9.37,6.01,6.64
Gallstones,6.7,High,"Blood Sugar Level, Alcohol Consumption, Blood Pressure","Stress, Sleep",Moderate,Low,9.99,7.74,Low,8.85,8.72,4.1,8.95,1.78,6.78,8.48,8.44,8.47,2.92,7.37,2.4,6.7,9.9
Depression,6.31,Moderate,"Gender, Environmental Factors, Sleep Quality","Stress, Smoking",High,High,7.51,6.27,Low,4.92,3.56,5.67,4.6,9.55,9.62,6.04,8.25,4.59,4.7,9.26,6.89,6.89,3.84
Anxiety Disorder,4.98,Moderate,"Cholesterol Level, Family History, Blood Pressure","Smoking, Sleep",Unknown,Moderate,7.36,5.47,High,1.98,1.39,1.4,5.99,1.05,8.0,5.76,9.84,5.83,6.35,4.2,7.36,8.1,2.42
Pneumonia,6.44,Moderate,"Alcohol Consumption, Gender, Environmental Factors","Diet, Stress",Low,High,9.58,5.83,High,1.98,8.6,3.16,2.32,8.1,8.68,6.38,9.34,1.53,6.66,6.54,9.92,8.18,8.79
Meniere Disease,5.97,Moderate,"Diet Quality, Physical Activity, Cholesterol Level","Sleep, Exercise",High,Moderate,7.33,7.33,Low,5.8,6.77,8.08,5.83,3.22,7.83,1.37,8.71,7.85,4.48,3.12,3.13,9.47,7.91
Parkinsons Disease,6.28,Moderate,"Blood Sugar Level, Physical Activity, BMI","Stress, Smoking",High,Moderate,8.99,7.25,Low,3.98,4.36,6.65,9.99,6.88,9.14,5.2,6.03,9.55,4.22,2.31,7.8,6.77,5.11
Asthma,4.9,Moderate,"Cholesterol Level, Environmental Factors, Diet Quality","Diet, Smoking",Unknown,High,7.19,6.34,Moderate,1.66,7.39,7.43,7.16,2.25,6.96,2.15,1.48,3.5,4.06,6.25,8.45,2.55,7.28
Kidney Stones,6.05,Moderate,"Environmental Factors, Smoking Status, Family History","Smoking, Exercise",High,High,8.93,5.74,Moderate,6.12,7.92,2.55,6.77,3.29,7.85,7.36,2.24,6.24,6.47,4.0,9.98,4.04,9.89
Back Pain,5.78,Moderate,"Sleep Quality, Blood Sugar Level, Cholesterol Level","Sleep, Exercise",Moderate,High,5.96,5.31,High,5.69,7.1,1.75,7.95,7.98,1.63,7.72,4.09,7.36,9.32,5.75,4.56,4.56,5.51
Pneumonia,5.86,Moderate,"Stress Level, Sleep Quality, Diet Quality","Diet, Smoking",Moderate,Moderate,5.29,7.28,Moderate,8.63,4.48,4.79,5.81,1.85,6.63,4.22,9.26,1.4,7.76,5.96,9.37,9.47,2.39
Meniere Disease,5.66,Moderate,"Alcohol Consumption, Sleep Quality, Blood Pressure","Diet, Stress",Low,High,6.65,7.1,Low,8.41,1.64,9.17,2.97,1.9,5.77,8.67,9.97,3.57,1.83,5.96,6.57,7.57,5.29
Chronic Fatigue,3.86,Moderate,"Environmental Factors, Physical Activity, Blood Sugar Level","Exercise, Sleep",Moderate,High,3.42,3.6,Moderate,2.57,2.32,5.18,2.77,4.37,3.77,3.87,3.94,4.61,2.1,8.28,4.13,2.95,3.16
Hyperthyroidism,4.87,Moderate,"Smoking Status, BMI, Environmental Factors","Stress, Smoking",Unknown,Low,7.2,5.37,High,8.47,2.93,8.16,1.63,4.5,3.9,8.39,1.73,6.28,6.28,9.39,1.67,1.99,2.92
Heart Disease,5.21,Moderate,"Cholesterol Level, Environmental Factors, BMI","Sleep, Stress",High,Low,4.43,6.43,Low,3.0,5.63,5.01,4.8,9.98,6.74,8.51,2.3,7.42,2.43,3.62,7.37,2.11,4.05
Common Cold,5.57,Moderate,"Diet Quality, Family History, Physical Activity","Exercise, Sleep",Low,High,6.67,5.88,Moderate,2.32,6.73,9.84,9.45,4.83,2.41,4.48,5.9,3.02,3.94,8.79,1.76,7.46,7.03
Acid Reflux,6.19,Moderate,"Cholesterol Level, Gender, Family History","Smoking, Sleep",Moderate,High,8.3,7.24,High,9.28,4.85,6.35,8.53,7.49,5.54,2.53,2.28,6.66,6.99,3.93,8.47,5.61,8.14
Vertigo,4.91,Moderate,"Age, BMI, Sleep Quality","Stress, Exercise",Moderate,High,4.48,6.33,Moderate,8.0,4.01,1.5,7.56,5.33,5.02,8.57,2.52,8.49,1.75,1.93,5.11,7.85,1.06
Leukemia,6.29,Moderate,"Cholesterol Level, Smoking Status, Alcohol Consumption","Stress, Sleep",Low,Low,8.33,5.99,Moderate,7.93,5.97,2.82,5.18,4.32,8.67,8.65,4.68,3.56,4.5,6.35,9.0,8.42,8.05
Sciatica,5.79,Moderate,"Family History, Gender, Diet Quality","Diet, Smoking",Moderate,High,8.0,5.42,High,7.35,1.74,5.14,9.53,1.5,8.02,3.08,6.82,8.05,1.95,9.68,7.31,6.92,3.93
Food Poisoning,4.9,Moderate,"Sleep Quality, Blood Pressure, Environmental Factors","Diet, Exercise",High,Low,5.82,5.85,Moderate,4.35,6.22,5.09,7.88,6.71,7.0,1.64,2.56,3.43,1.1,6.8,4.78,6.53,4.49
Skin Allergies,6.56,High,"Blood Sugar Level, Diet Quality, Environmental Factors","Diet, Stress",High,High,6.13,7.78,High,2.47,6.93,9.5,4.42,8.21,7.55,5.02,9.54,7.18,6.47,8.69,3.32,7.42,5.13
Gallstones,5.72,Moderate,"Blood Sugar Level, Alcohol Consumption, Environmental Factors","Smoking, Diet",Moderate,High,6.03,6.43,High,3.16,5.56,7.27,6.96,2.63,3.02,7.97,4.56,7.8,4.56,9.27,6.48,1.77,9.06
Chronic Fatigue,4.18,Moderate,"Blood Sugar Level, Sleep Quality, Alcohol Consumption","Stress, Smoking",High,Moderate,3.59,4.67,Moderate,6.75,2.05,2.09,8.98,1.95,2.84,8.78,3.49,2.54,2.79,8.15,1.91,3.07,3.07
Appendicitis,5.67,Moderate,"Cholesterol Level, Physical Activity, Age","Stress, Smoking",High,Low,5.77,5.5,Moderate,6.05,4.34,3.04,6.12,8.86,4.94,4.24,1.67,5.37,8.51,1.5,7.87,9.41,7.49
Prostate Cancer,5.39,Moderate,"Environmental Factors, Blood Sugar Level, Cholesterol Level","Stress, Sleep",Moderate,Moderate,5.93,5.62,Low,1.86,6.65,4.99,3.09,9.14,5.96,1.23,7.34,7.65,5.14,4.12,9.28,3.09,5.88
Constipation,4.83,Moderate,"Blood Pressure, Age, Physical Activity","Sleep, Smoking",Moderate,Low,5.05,4.41,Moderate,4.0,1.62,3.11,4.51,8.08,7.79,1.19,3.32,2.47,9.64,4.7,9.94,4.89,2.42
IBS,5.81,Moderate,"Gender, Sleep Quality, Family History","Diet, Exercise",Low,Moderate,5.18,5.5,High,9.75,8.92,3.85,5.84,5.46,9.57,7.05,3.59,8.28,3.14,7.72,2.86,4.23,1.05
Depression,5.5,Moderate,"Family History, Blood Sugar Level, Stress Level","Exercise, Stress",Low,Moderate,7.19,6.48,Low,4.69,3.56,5.96,6.55,8.15,4.73,3.89,3.33,4.98,5.65,4.46,8.32,6.98,5.73
Measles,5.33,Moderate,"Family History, Age, Stress Level","Stress, Diet",Low,High,5.06,4.81,Low,3.51,4.12,4.18,9.31,4.19,8.92,7.45,8.16,1.2,8.68,5.41,3.24,1.58,4.65
Hepatitis A,5.41,Moderate,"Diet Quality, Cholesterol Level, Physical Activity","Stress, Exercise",Unknown,Low,7.96,5.45,Moderate,8.58,8.64,4.66,6.29,4.9,3.78,6.54,3.98,5.34,4.5,3.23,5.88,2.99,6.4
PCOS,5.85,Moderate,"Stress Level, Cholesterol Level, Family History","Sleep, Stress",Low,Moderate,5.31,5.68,High,3.36,9.64,5.26,3.71,5.41,5.66,9.34,1.26,7.4,4.31,7.89,3.53,8.38,6.79
Osteoporosis,5.88,Moderate,"Gender, Blood Pressure, Blood Sugar Level","Exercise, Diet",Low,High,8.76,6.2,Moderate,9.49,9.52,3.98,4.64,9.6,3.9,1.51,3.17,8.35,8.85,1.81,5.64,9.65,2.16
Sleep Apnea,4.85,Moderate,"Environmental Factors, Physical Activity, Cholesterol Level","Diet, Exercise",High,Moderate,4.13,5.42,High,1.8,3.11,7.19,4.68,6.11,3.23,2.84,1.57,7.87,8.52,2.93,6.51,4.32,7.21
COVID-19,5.54,Moderate,"Alcohol Consumption, Stress Level, Diet Quality","Diet, Sleep",Moderate,High,7.69,5.37,High,2.42,2.6,2.76,9.96,1.57,8.57,1.82,8.57,9.83,8.37,1.22,9.28,5.28,5.37
Insomnia,4.59,Moderate,"Family History, Smoking Status, Blood Pressure","Stress, Diet",Moderate,High,4.57,4.49,Moderate,2.44,6.11,5.61,4.56,7.3,3.62,1.67,9.47,9.18,3.54,1.53,2.0,2.05,5.17
Chickenpox,5.0,Moderate,"Diet Quality, Cholesterol Level, Environmental Factors","Smoking, Exercise",Low,High,4.59,5.26,Low,3.69,7.08,9.85,7.68,1.04,1.59,4.8,1.31,7.48,1.14,1.45,5.93,9.56,7.42
Fibromyalgia,5.94,Moderate,"Environmental Factors, Gender, Family History","Stress, Sleep",Unknown,Moderate,8.89,6.07,Low,7.05,1.9,9.78,2.21,9.72,1.3,7.89,3.76,7.63,8.29,6.71,3.63,7.6,5.75
Coronary Artery Disease,5.0,Moderate,"Smoking Status, Gender, Cholesterol Level","Stress, Exercise",High,Low,5.33,4.76,Moderate,3.44,1.52,2.21,8.72,2.02,7.65,6.69,4.39,6.4,7.13,8.35,1.84,4.14,5.55
Osteoporosis,4.42,Moderate,"BMI, Alcohol Consumption, Cholesterol Level","Diet, Exercise",Low,High,5.43,5.67,High,3.76,2.85,1.71,6.64,3.19,2.82,1.33,6.59,2.36,3.89,8.55,4.59,7.56,6.06
Bipolar Disorder,5.71,Moderate,"Family History, BMI, Sleep Quality","Diet, Sleep",Unknown,Moderate,4.82,6.72,Moderate,4.09,8.68,7.35,7.02,3.6,6.03,9.69,9.76,3.4,3.01,7.37,1.11,1.78,7.08
Pneumonia,5.33,Moderate,"Alcohol Consumption, Gender, Blood Sugar Level","Stress, Smoking",Unknown,High,7.97,6.42,Low,7.55,3.89,2.37,2.29,6.97,8.7,3.05,3.93,9.06,4.31,4.24,9.88,7.36,1.02
Typhoid,6.38,Moderate,"Age, Physical Activity, Alcohol Consumption","Sleep, Stress",High,Moderate,5.44,6.94,Low,7.53,9.26,4.59,7.78,7.4,9.77,2.44,5.95,9.47,6.9,3.33,5.03,5.01,4.92
Depression,5.26,Moderate,"Blood Sugar Level, Cholesterol Level, Smoking Status","Exercise, Sleep",Low,High,7.63,6.7,High,1.12,2.07,6.27,5.58,4.47,9.34,2.42,5.27,3.84,6.69,8.61,8.52,3.78,5.62
Gout,5.66,Moderate,"Physical Activity, Cholesterol Level, BMI","Stress, Smoking",High,Moderate,5.82,6.93,Moderate,4.25,5.14,7.68,8.45,8.66,5.3,3.24,5.89,5.29,4.23,4.64,4.97,8.13,3.39
Hemorrhoids,5.55,Moderate,"Blood Sugar Level, Age, Smoking Status","Sleep, Diet",Unknown,Moderate,4.69,6.27,Moderate,9.93,3.13,5.13,5.7,9.22,3.79,2.14,5.03,6.36,4.93,7.22,5.12,7.72,2.31
Vertigo,4.96,Moderate,"Smoking Status, Family History, BMI","Exercise, Smoking",Unknown,High,5.45,5.8,High,1.17,7.05,2.1,8.67,4.48,7.27,5.23,2.55,2.33,9.88,4.84,3.7,1.51,8.67
Skin Cancer,7.19,High,"Physical Activity, Diet Quality, Blood Pressure","Exercise, Stress",High,Moderate,9.79,6.67,Moderate,9.14,5.62,6.81,9.73,5.14,6.1,5.54,6.07,9.54,8.41,4.29,6.89,8.2,9.17
Chickenpox,5.29,Moderate,"Blood Pressure, Age, Sleep Quality","Smoking, Exercise",Low,Moderate,5.66,6.57,Moderate,2.79,2.24,3.63,5.43,3.53,3.68,7.95,4.29,3.54,3.02,8.14,8.49,9.41,7.87
Diabetes Type 1,6.04,Moderate,"Environmental Factors, Diet Quality, Family History","Exercise, Diet",Moderate,Moderate,8.72,5.68,Moderate,8.95,5.48,9.28,8.01,4.64,7.77,3.35,2.25,7.96,3.44,2.93,8.26,4.37,7.86
Stroke,5.14,Moderate,"Blood Sugar Level, Blood Pressure, Age","Sleep, Smoking",Low,Low,5.77,6.65,High,2.93,1.01,4.4,3.37,6.72,3.9,9.6,5.27,7.23,5.35,8.47,4.48,5.72,3.48
Diarrhea,6.01,Moderate,"Diet Quality, Stress Level, BMI","Stress, Sleep",Moderate,Moderate,6.23,7.03,Moderate,1.68,5.4,6.51,5.87,9.26,6.25,6.23,6.35,6.74,7.14,9.23,3.57,7.44,2.42
Multiple Sclerosis,5.55,Moderate,"Smoking Status, Alcohol Consumption, Gender","Sleep, Exercise",Moderate,Low,4.71,6.86,High,1.7,9.99,4.19,1.22,5.75,1.75,4.59,6.45,9.41,3.36,6.1,8.71,7.75,6.73
Hypothyroidism,5.43,Moderate,"Age, Diet Quality, Blood Sugar Level","Diet, Smoking",Low,High,6.76,6.17,Moderate,4.2,9.29,7.85,4.98,7.82,1.03,7.86,6.47,2.97,3.86,8.77,3.78,4.35,2.75
Macular Degeneration,6.63,High,"BMI, Age, Stress Level","Stress, Exercise",High,Low,6.11,8.28,Moderate,4.55,3.94,9.44,7.04,9.23,8.63,8.0,9.94,4.82,5.76,7.87,9.17,3.05,1.35
Peptic Ulcer,6.02,Moderate,"Blood Sugar Level, Cholesterol Level, Alcohol Consumption","Smoking, Sleep",Low,High,5.06,7.07,High,9.57,8.1,9.92,2.1,8.72,1.38,4.03,3.67,4.17,4.41,7.35,5.69,6.13,9.04
Cluster Headache,5.87,Moderate,"Diet Quality, Family History, Smoking Status","Stress, Smoking",Moderate,Moderate,7.57,5.77,High,1.13,2.66,3.73,9.53,8.96,8.11,4.26,8.13,6.15,5.68,7.32,5.72,9.52,1.23
Back Pain,4.29,Moderate,"Blood Sugar Level, BMI, Blood Pressure","Smoking, Sleep",Unknown,High,3.49,4.52,High,2.36,3.2,6.52,5.3,1.06,4.57,1.64,6.23,5.94,5.27,3.54,1.56,2.83,9.97
Diabetes Type 2,4.36,Moderate,"Alcohol Consumption, Smoking Status, Diet Quality","Diet, Stress",Unknown,Moderate,5.34,4.3,Moderate,3.11,1.39,4.49,2.07,7.92,5.88,4.31,4.68,4.75,3.44,6.32,3.1,6.81,2.73
Lactose Intolerance,6.11,Moderate,"Blood Sugar Level, Diet Quality, Blood Pressure","Stress, Sleep",Moderate,Low,7.76,5.79,Moderate,8.58,9.2,2.57,5.37,9.68,4.86,5.99,9.55,5.8,7.76,7.29,1.13,2.12,5.69
Diarrhea,5.55,Moderate,"Family History, Alcohol Consumption, Cholesterol Level","Sleep, Exercise",Low,Moderate,6.27,5.93,Moderate,4.23,5.41,3.95,8.26,4.34,1.95,1.06,8.76,6.62,7.66,1.63,4.81,10.0,9.02
Breast Cancer,5.5,Moderate,"Blood Sugar Level, Cholesterol Level, Gender","Sleep, Exercise",Moderate,Low,6.49,6.74,Low,4.84,6.63,5.42,3.86,4.91,8.38,4.71,3.63,1.68,7.8,9.29,5.7,1.54,8.55
Macular Degeneration,6.28,Moderate,"Family History, Diet Quality, Age","Sleep, Diet",Moderate,Low,7.09,6.1,High,9.71,7.06,7.09,7.32,5.74,7.15,4.46,5.07,5.86,6.67,1.67,5.93,5.22,8.91
Metabolic Syndrome,6.1,Moderate,"Family History, Age, BMI","Stress, Sleep",Moderate,High,6.63,5.66,Low,3.29,6.68,6.0,9.56,7.97,8.38,6.48,5.57,2.14,3.76,3.1,8.99,6.2,7.22
Anxiety Disorder,6.53,High,"Age, Family History, Sleep Quality","Diet, Smoking",Moderate,High,9.65,6.3,Moderate,8.3,3.2,9.77,9.52,9.3,8.65,9.72,1.4,3.08,7.44,5.65,2.64,3.0,9.77
Multiple Sclerosis,5.19,Moderate,"Smoking Status, Cholesterol Level, Blood Pressure","Sleep, Exercise",Low,Low,6.35,5.73,Moderate,4.82,3.48,8.15,7.91,3.17,6.04,2.77,1.44,5.9,9.39,1.54,9.03,5.4,3.62
Alzheimers Disease,5.75,Moderate,"Age, Family History, Stress Level","Smoking, Exercise",Low,Moderate,7.07,7.09,High,1.85,1.16,1.53,7.38,1.52,2.74,5.7,5.86,9.68,9.01,7.76,8.96,8.41,8.91
Prostate Cancer,4.59,Moderate,"Age, Environmental Factors, Stress Level","Diet, Exercise",Unknown,Moderate,4.32,5.39,High,1.59,6.13,7.5,2.48,1.06,6.7,1.33,5.26,6.83,5.8,1.3,9.38,6.65,2.28
Anemia,5.28,Moderate,"Physical Activity, Stress Level, Environmental Factors","Smoking, Diet",Unknown,Moderate,5.41,6.65,High,1.86,5.83,9.92,8.66,1.29,9.35,7.24,1.98,8.57,1.06,6.24,5.8,1.08,5.02
COVID-19,5.43,Moderate,"Diet Quality, Sleep Quality, BMI","Smoking, Sleep",Moderate,Low,4.72,5.65,Low,9.38,2.97,2.67,2.2,8.32,1.27,5.08,4.87,9.37,3.16,7.95,7.12,4.93,6.77
Acid Reflux,5.7,Moderate,"Stress Level, Sleep Quality, Physical Activity","Stress, Sleep",High,High,8.47,5.92,Low,9.57,2.7,6.48,8.63,6.1,6.09,6.93,4.23,6.74,2.41,6.13,8.1,4.45,1.18
Psoriasis,4.9,Moderate,"Diet Quality, Alcohol Consumption, Smoking Status","Smoking, Stress",Unknown,Low,5.13,4.63,Moderate,2.51,4.35,4.29,1.94,6.07,8.16,3.99,2.24,3.62,4.45,9.49,7.02,3.02,7.51
Varicose Veins,5.83,Moderate,"Gender, Family History, BMI","Sleep, Stress",Unknown,Moderate,6.0,7.2,High,6.53,7.22,4.63,7.34,9.29,2.01,4.1,3.08,8.6,2.31,4.61,7.94,5.13,8.77
Diabetes Type 2,4.78,Moderate,"Sleep Quality, Smoking Status, Physical Activity","Sleep, Smoking",High,Moderate,5.24,4.78,Low,1.15,1.23,7.1,6.73,5.1,2.74,6.54,9.13,2.05,1.36,9.07,3.65,4.05,7.03
Chickenpox,5.39,Moderate,"Environmental Factors, Sleep Quality, Stress Level","Exercise, Sleep",Moderate,High,6.06,5.1,High,6.39,1.84,6.2,4.02,7.83,3.44,9.48,8.86,7.25,2.38,4.45,3.45,6.02,3.83
Eczema,4.63,Moderate,"Age, Stress Level, Diet Quality","Sleep, Smoking",High,Moderate,5.21,4.2,Low,6.87,8.75,7.35,3.03,2.02,2.22,5.41,2.18,7.96,2.09,1.7,6.54,7.11,1.53
UTI,5.53,Moderate,"Family History, Gender, Environmental Factors","Exercise, Smoking",Moderate,Moderate,5.06,6.09,Moderate,1.69,1.38,5.9,8.63,2.92,8.67,2.36,2.78,2.26,6.97,8.6,5.87,10.0,9.39
Gallstones,6.18,Moderate,"Gender, BMI, Diet Quality","Smoking, Exercise",Unknown,High,8.44,8.02,Low,9.25,3.59,2.61,8.15,6.05,3.16,6.02,3.5,7.75,5.85,5.78,6.81,9.7,8.31
Diabetes Type 1,5.44,Moderate,"Blood Sugar Level, Sleep Quality, Age","Stress, Diet",Moderate,High,6.88,6.22,High,1.29,3.21,9.23,5.18,9.23,9.04,9.28,1.99,4.13,2.75,2.97,4.7,9.86,3.25
Celiac Disease,5.4,Moderate,"Smoking Status, Alcohol Consumption, Age","Exercise, Sleep",Low,Moderate,7.14,5.25,High,8.67,9.94,1.72,1.57,5.84,5.72,1.59,5.69,9.83,2.9,7.15,3.41,2.07,9.45
Sinusitis,5.43,Moderate,"Blood Pressure, Diet Quality, Alcohol Consumption","Stress, Exercise",Unknown,High,6.72,5.2,Moderate,3.97,3.41,2.66,6.32,6.82,2.34,5.33,3.88,7.91,8.44,8.02,8.63,1.87,6.49
Heart Failure,5.9,Moderate,"Blood Sugar Level, Environmental Factors, Gender","Smoking, Sleep",Unknown,Low,5.33,7.17,Low,9.64,8.39,1.06,8.57,9.49,8.42,5.21,2.28,5.98,4.98,4.47,4.48,3.44,6.23
Mumps,3.76,Moderate,"Physical Activity, Smoking Status, Environmental Factors","Smoking, Stress",Moderate,Moderate,5.22,4.02,Moderate,5.16,1.73,1.88,3.72,7.8,3.44,5.7,8.92,1.98,1.09,1.76,2.1,3.35,4.02
Cholecystitis,4.13,Moderate,"Smoking Status, Blood Pressure, Stress Level","Exercise, Smoking",Moderate,Moderate,3.91,4.88,Low,1.45,7.84,3.8,3.8,1.96,7.52,2.45,3.94,4.46,1.83,5.31,1.67,3.45,8.3
Fibromyalgia,3.93,Moderate,"Diet Quality, Alcohol Consumption, BMI","Diet, Stress",High,Moderate,4.21,3.61,Moderate,3.49,1.18,2.76,1.95,1.37,5.35,5.24,3.39,4.06,6.14,7.43,5.79,5.23,1.6
Mumps,6.01,Moderate,"Gender, Smoking Status, Family History","Stress, Exercise",Low,Low,4.86,6.93,Moderate,2.71,8.86,5.31,2.52,3.67,6.39,9.32,7.32,2.57,6.4,6.65,7.1,7.97,7.36
Back Pain,4.96,Moderate,"Smoking Status, Sleep Quality, Age","Stress, Exercise",High,Moderate,6.52,4.47,High,7.31,2.05,7.72,2.61,1.3,3.5,8.69,6.12,9.06,4.09,6.72,1.05,3.04,6.15
Ear Infection,5.12,Moderate,"Sleep Quality, Blood Pressure, Age","Diet, Exercise",Unknown,High,7.29,4.88,Moderate,1.23,9.32,2.96,5.23,9.96,2.18,6.85,5.88,4.51,7.63,6.12,6.42,1.28,2.12
COVID-19,5.43,Moderate,"Stress Level, Physical Activity, BMI","Stress, Sleep",Unknown,Moderate,6.89,6.83,High,2.65,3.35,7.82,3.21,5.23,5.83,9.39,5.62,1.12,4.25,8.83,3.21,6.64,8.84
Deep Vein Thrombosis,3.83,Moderate,"Gender, Physical Activity, Smoking Status","Sleep, Stress",Unknown,Moderate,4.31,4.97,Moderate,8.59,3.74,1.77,8.25,3.45,3.89,3.01,2.58,4.88,1.79,1.23,1.57,1.98,6.85
Cholecystitis,6.79,High,"Smoking Status, Alcohol Consumption, Stress Level","Stress, Exercise",Low,High,6.65,7.02,Moderate,8.97,4.56,2.71,8.84,9.76,9.0,8.36,9.04,7.08,4.17,9.65,3.42,7.72,1.73
Epilepsy,5.42,Moderate,"Blood Sugar Level, Diet Quality, Stress Level","Diet, Stress",Unknown,Low,8.03,5.07,Low,2.42,9.11,4.21,6.53,8.76,2.85,3.42,6.81,3.61,8.84,3.99,3.45,6.52,5.36
Measles,5.94,Moderate,"Alcohol Consumption, Sleep Quality, BMI","Exercise, Smoking",Low,High,6.64,5.86,Low,8.99,8.31,5.7,5.39,9.32,5.09,8.03,1.71,7.82,3.61,6.08,5.29,2.96,4.83
Malaria,5.52,Moderate,"Stress Level, Diet Quality, Alcohol Consumption","Smoking, Sleep",Moderate,High,4.58,6.63,Moderate,5.09,1.24,9.81,8.39,7.95,2.0,9.17,6.57,4.6,8.44,2.23,7.54,1.28,2.95
Pneumonia,5.85,Moderate,"Blood Pressure, Age, BMI","Stress, Sleep",Low,High,6.3,5.56,Moderate,1.29,5.6,5.06,7.89,6.23,9.08,5.88,5.13,7.27,2.97,8.69,7.69,7.43,1.69
