drug_1,drug_2,interaction_severity,interaction_type,clinical_effect,mechanism,management,evidence_level,onset_time,age_considerations
Clonazepam,Cetirizine,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Albuterol,Diphenhydramine,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,All ages
Gabapentin,Prednisone,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Lorazepam,Gabapentin,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Lisinopril,Lorazepam,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Tramadol,Amoxicillin,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Losartan,Sertraline,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Albuterol,Tramadol,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Pediatric
Omeprazole,Albuterol,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Adults only
Albuterol,Warfarin,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Amoxicillin,Furosemide,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Tramadol,Omeprazole,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Adults only
Tramadol,Acetaminophen,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Diphenhydramine,Prednisone,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Omeprazole,Warfarin,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Prednisone,Lisinopril,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Pediatric
Acetaminophen,Montelukast,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Adults only
Sertraline,Lisinopril,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Omeprazole,Prednisone,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Pediatric
Lisinopril,Metformin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Levothyroxine,Hydrochlorothiazide,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Elderly
Clonazepam,Lorazepam,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Lorazepam,Losartan,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Adults only
Aspirin,Prednisone,Severe,Synergistic,Life-threatening reactions,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Ibuprofen,Aspirin,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Elderly
Amoxicillin,Acetaminophen,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Diphenhydramine,Aspirin,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Pediatric
Clonazepam,Sertraline,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Albuterol,Sertraline,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Lisinopril,Levothyroxine,Major,Pharmacodynamic,Substantial efficacy loss,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Insulin,Lorazepam,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Adults only
Albuterol,Omeprazole,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Acetaminophen,Montelukast,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Gabapentin,Acetaminophen,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Sertraline,Lisinopril,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Acetaminophen,Ibuprofen,Moderate,Pharmacodynamic,Reduced effectiveness,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Ibuprofen,Albuterol,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Clonazepam,Aspirin,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Pediatric
Lorazepam,Diphenhydramine,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
Furosemide,Hydrochlorothiazide,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Pediatric
Warfarin,Cetirizine,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Prednisone,Atorvastatin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Elderly
Sertraline,Prednisone,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Losartan,Omeprazole,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Lisinopril,Sertraline,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
Insulin,Atorvastatin,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Pediatric
Losartan,Lisinopril,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Adults only
Aspirin,Tramadol,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Pediatric
Acetaminophen,Tramadol,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
