disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5,precaution_6,severity_level,urgency,follow_up_days
Deep Vein Thrombosis,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,Moderate,Emergency,4
Hypothyroidism,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Mild,Low,34
Psoriasis,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Mild,High,69
Deep Vein Thrombosis,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,,Critical,Low,17
Leukemia,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,Severe,Low,50
Osteoarthritis,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,,Critical,Medium,2
Asthma,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Severe,Emergency,40
Psoriasis,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Critical,Medium,37
Endometriosis,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Critical,High,17
ADHD,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,,Critical,Emergency,41
Heart Disease,Engage in 150 minutes moderate aerobic exercise weekly,Take prescribed medications exactly as directed,Maintain healthy weight (BMI 18.5-24.9),"Limit alcohol intake (1 drink/day women, 2 drinks/day men)",Quit smoking and avoid all tobacco products,,Mild,Emergency,51
Lactose Intolerance,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Mild,Low,65
Lymphoma,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,,Mild,Emergency,29
Sciatica,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Severe,Low,70
Schizophrenia,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Moderate,Medium,76
Dermatitis,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Low,5
Depression,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,Moderate,Low,8
Hearing Loss,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,,Mild,Low,76
Anemia,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,,,Severe,High,73
Insomnia,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Mild,Low,89
Bronchitis,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Critical,High,68
Chronic Kidney Disease,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,,Mild,Emergency,88
Gout,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Critical,Medium,71
Sleep Apnea,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,,Mild,High,64
Cholecystitis,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,Moderate,Medium,82
Hypothyroidism,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,Moderate,Low,29
