disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Iron Deficiency,Iron Deficiency is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U16.4,Infectious,No,Chronic,9.819,2242,Elderly,May lead to various complications if left untreated,2024-11-04
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N16.3,Cardiovascular,Yes,7-14,0.029,2031,All ages,May lead to various complications if left untreated,2025-08-02
UTI,UTI is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W37.6,Infectious,No,7-14,3.136,3665,Children,May lead to various complications if left untreated,2024-10-01
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y17.5,Neurological,No,Chronic,14.729,1927,Children,May lead to various complications if left untreated,2025-06-16
Diarrhea,Diarrhea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M68.4,Cardiovascular,Partially,14-30,12.186,3787,Children,May lead to various complications if left untreated,2025-04-03
Hernia,Hernia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I89.3,Respiratory,Yes,3-7,3.149,404,All ages,May lead to various complications if left untreated,2025-02-26
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U69.6,Infectious,Partially,Chronic,2.526,4815,Adults,May lead to various complications if left untreated,2025-01-12
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C84.8,Cardiovascular,No,Chronic,8.308,2378,Adults,May lead to various complications if left untreated,2025-08-26
Gastritis,Gastritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S70.0,Respiratory,No,14-30,9.996,507,Adults,May lead to various complications if left untreated,2024-09-14
Migraine,Migraine is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z40.4,Respiratory,No,Chronic,13.717,1993,Children,May lead to various complications if left untreated,2025-02-25
Ear Infection,Ear Infection is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z36.5,Endocrine,Partially,14-30,7.398,174,All ages,May lead to various complications if left untreated,2024-09-13
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S84.0,Respiratory,Partially,Chronic,8.376,541,All ages,May lead to various complications if left untreated,2025-08-09
Deep Vein Thrombosis,Deep Vein Thrombosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F38.2,Infectious,No,Chronic,4.243,4380,Adults,May lead to various complications if left untreated,2024-11-28
Lymphoma,Lymphoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W84.1,Respiratory,Yes,Chronic,8.616,2599,Children,May lead to various complications if left untreated,2024-09-13
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S77.2,Respiratory,Yes,14-30,7.29,4634,Elderly,May lead to various complications if left untreated,2025-06-16
Meniere Disease,Meniere Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P19.2,Cardiovascular,Partially,Chronic,12.597,4011,Children,May lead to various complications if left untreated,2025-07-13
Laryngitis,Laryngitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A95.5,Infectious,Partially,3-7,3.635,3714,Children,May lead to various complications if left untreated,2025-08-24
Bipolar Disorder,Bipolar Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J31.5,Cardiovascular,Yes,3-7,13.871,3846,Children,May lead to various complications if left untreated,2025-04-01
Peptic Ulcer,Peptic Ulcer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E16.8,Respiratory,Partially,3-7,14.806,2627,Elderly,May lead to various complications if left untreated,2025-08-25
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P78.5,Respiratory,Yes,3-7,6.237,1491,Children,May lead to various complications if left untreated,2025-05-28
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E62.8,Infectious,No,14-30,2.743,4549,Adults,May lead to various complications if left untreated,2025-08-08
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F48.4,Neurological,Partially,7-14,12.169,4535,Children,May lead to various complications if left untreated,2025-02-28
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D32.9,Infectious,Partially,3-7,6.394,4756,All ages,May lead to various complications if left untreated,2024-12-22
Gastritis,Gastritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E89.2,Infectious,Yes,14-30,14.466,2985,Elderly,May lead to various complications if left untreated,2025-01-19
Hepatitis A,Hepatitis A is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W92.6,Cardiovascular,Yes,3-7,11.388,4359,All ages,May lead to various complications if left untreated,2025-06-11
Dermatitis,Dermatitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W23.9,Respiratory,Yes,3-7,2.204,649,All ages,May lead to various complications if left untreated,2025-06-01
Migraine,Migraine is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T71.7,Cardiovascular,Partially,3-7,4.855,542,Elderly,May lead to various complications if left untreated,2025-08-07
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V40.1,Respiratory,Yes,14-30,0.94,4550,Elderly,May lead to various complications if left untreated,2025-03-12
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O49.4,Endocrine,Partially,7-14,10.659,538,Elderly,May lead to various complications if left untreated,2025-07-12
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q52.1,Cardiovascular,Yes,3-7,10.419,3330,All ages,May lead to various complications if left untreated,2025-03-13
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W58.7,Cardiovascular,No,3-7,6.813,865,Children,May lead to various complications if left untreated,2025-07-02
Peptic Ulcer,Peptic Ulcer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U43.5,Respiratory,No,14-30,8.695,4451,Children,May lead to various complications if left untreated,2025-06-15
Meniere Disease,Meniere Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J45.6,Neurological,Yes,14-30,13.939,1199,All ages,May lead to various complications if left untreated,2024-09-15
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C37.1,Cardiovascular,Partially,14-30,8.195,2084,Elderly,May lead to various complications if left untreated,2024-12-21
Hepatitis B,Hepatitis B is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J62.1,Cardiovascular,No,14-30,0.927,1676,Elderly,May lead to various complications if left untreated,2025-04-26
Anxiety Disorder,Anxiety Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D70.0,Infectious,Yes,Chronic,3.593,1335,Adults,May lead to various complications if left untreated,2024-09-22
ADHD,ADHD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F28.2,Cardiovascular,Yes,3-7,2.478,2447,Elderly,May lead to various complications if left untreated,2025-04-12
Meniere Disease,Meniere Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W72.3,Endocrine,No,14-30,11.7,452,Elderly,May lead to various complications if left untreated,2024-10-05
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K97.0,Respiratory,No,3-7,6.104,3273,All ages,May lead to various complications if left untreated,2025-08-05
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R36.0,Endocrine,Partially,7-14,2.818,149,Adults,May lead to various complications if left untreated,2024-10-23
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T28.2,Endocrine,No,14-30,0.831,3466,Elderly,May lead to various complications if left untreated,2024-10-31
